ResourceID,card,card_order,other_identifier_content,other_identifier_type
bee04007-c499-52c2-b256-48ab711d57d6,other_identifiers,2,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Zundert,RCE Monuments
bee04007-c499-52c2-b256-48ab711d57d6,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_zb131-002689,MIP
2ff92e37-479c-593c-8414-775691f28623,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3074,Wikibase
171934bb-418e-5fa0-82d7-ad287af55ecc,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3075,Wikibase
d9a48662-6974-5047-86c1-6fb7005bea74,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3076,Wikibase
d9a48662-6974-5047-86c1-6fb7005bea74,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_ht047-001741,MIP
fbf88ad3-509b-5526-9a19-11846d471f02,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3078,Wikibase
c223ab0b-9ccd-59f2-bc42-c990b377a949,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3079,Wikibase
0fad10b8-b310-5c98-b295-d4748b4c3f4b,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3080,Wikibase
ea2f30b9-4554-5c2b-b214-e3dbd15b241d,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3081,Wikibase
ea2f30b9-4554-5c2b-b214-e3dbd15b241d,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_ht075-001543,MIP
79fb2658-5415-5c7a-b904-44d7d7f4f719,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3082,Wikibase
79fb2658-5415-5c7a-b904-44d7d7f4f719,other_identifiers,2,https://data.brabantcloud.nl/mip-gallery/brabantcloud_mip_ae014-001250,MIP
1bf3f0c9-dbe8-5f89-9b73-41d1d89df64d,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3083,Wikibase
1bf3f0c9-dbe8-5f89-9b73-41d1d89df64d,other_identifiers,2,https://nl.wikipedia.org/wiki/Lijst_van_gemeentelijke_monumenten_in_Ravenstein,RCE Monuments
92bd21ce-8afb-55ac-9484-4af9ae664387,other_identifiers,2,http://gebouwen.brabantcloud.nl/entity/Q3084,Wikibase
